Date,price_Yes_nuclear,price_Yes,price_No
2025-04-17 00:00:00+00:00,0.15,0.15,0.85
2025-04-18 00:00:00+00:00,0.15,0.15,0.85
2025-04-19 00:00:00+00:00,0.15,0.15,0.85
2025-04-20 00:00:00+00:00,0.15,0.15,0.85
2025-04-21 00:00:00+00:00,0.15,0.15,0.85
2025-04-22 00:00:00+00:00,0.155,0.155,0.845
2025-04-23 00:00:00+00:00,0.16,0.16,0.84
2025-04-24 00:00:00+00:00,0.155,0.155,0.845
2025-04-25 00:00:00+00:00,0.15,0.15,0.85
2025-04-26 00:00:00+00:00,0.155,0.155,0.845
2025-04-27 00:00:00+00:00,0.16,0.16,0.84
2025-04-28 00:00:00+00:00,0.15,0.15,0.85
2025-04-29 00:00:00+00:00,0.165,0.165,0.835
2025-04-30 00:00:00+00:00,0.16,0.16,0.84
2025-05-01 00:00:00+00:00,0.15,0.15,0.85
2025-05-02 00:00:00+00:00,0.15,0.15,0.85
2025-05-03 00:00:00+00:00,0.15,0.15,0.85
2025-05-04 00:00:00+00:00,0.16499999999999998,0.16499999999999998,0.835
2025-05-05 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-05-06 00:00:00+00:00,0.2,0.2,0.8
2025-05-07 00:00:00+00:00,0.17,0.17,0.83
2025-05-08 00:00:00+00:00,0.17,0.17,0.83
2025-05-09 00:00:00+00:00,0.19,0.19,0.81
2025-05-10 00:00:00+00:00,0.17,0.17,0.83
2025-05-11 00:00:00+00:00,0.15,0.15,0.85
2025-05-12 00:00:00+00:00,0.16,0.16,0.84
2025-05-13 00:00:00+00:00,0.15,0.15,0.85
2025-05-14 00:00:00+00:00,0.16,0.16,0.84
2025-05-15 00:00:00+00:00,0.16,0.16,0.84
2025-05-16 00:00:00+00:00,0.15,0.15,0.85
2025-05-17 00:00:00+00:00,0.14,0.14,0.86
2025-05-18 00:00:00+00:00,0.15,0.15,0.85
2025-05-19 00:00:00+00:00,0.14,0.14,0.86
2025-05-20 00:00:00+00:00,0.14,0.14,0.86
2025-05-21 00:00:00+00:00,0.13,0.13,0.87
2025-05-22 00:00:00+00:00,0.14,0.14,0.86
2025-05-23 00:00:00+00:00,0.14,0.14,0.86
2025-05-24 00:00:00+00:00,0.13,0.13,0.87
2025-05-25 00:00:00+00:00,0.13,0.13,0.87
2025-05-26 00:00:00+00:00,0.13,0.13,0.87
2025-05-27 00:00:00+00:00,0.13,0.13,0.87
2025-05-28 00:00:00+00:00,0.14,0.14,0.86
2025-05-29 00:00:00+00:00,0.12,0.12,0.88
2025-05-30 00:00:00+00:00,0.13,0.13,0.87
2025-05-31 00:00:00+00:00,0.12,0.12,0.88
2025-06-01 00:00:00+00:00,0.15,0.15,0.85
2025-06-02 00:00:00+00:00,0.13,0.13,0.87
2025-06-03 00:00:00+00:00,0.14,0.14,0.86
2025-06-04 00:00:00+00:00,0.15,0.15,0.85
2025-06-05 00:00:00+00:00,0.15,0.15,0.85
2025-06-06 00:00:00+00:00,0.13,0.13,0.87
2025-06-07 00:00:00+00:00,0.13,0.13,0.87
2025-06-08 00:00:00+00:00,0.15,0.15,0.85
2025-06-09 00:00:00+00:00,0.156,0.156,0.844
2025-06-10 00:00:00+00:00,0.12,0.12,0.88
2025-06-11 00:00:00+00:00,0.12,0.12,0.88
2025-06-12 00:00:00+00:00,0.16,0.16,0.84
2025-06-13 00:00:00+00:00,0.24,0.24,0.76
2025-06-14 00:00:00+00:00,0.17,0.17,0.83
2025-06-15 00:00:00+00:00,0.182,0.182,0.8180000000000001
2025-06-16 00:00:00+00:00,0.2,0.2,0.8
2025-06-17 00:00:00+00:00,0.17,0.17,0.83
2025-06-18 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-06-19 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-06-20 00:00:00+00:00,0.16,0.16,0.84
2025-06-21 00:00:00+00:00,0.17,0.17,0.83
2025-06-22 00:00:00+00:00,0.15,0.15,0.85
2025-06-23 00:00:00+00:00,0.09,0.09,0.91
2025-06-24 00:00:00+00:00,0.14,0.14,0.86
2025-06-25 00:00:00+00:00,0.1,0.1,0.9
2025-06-26 00:00:00+00:00,0.1,0.1,0.9
2025-06-27 00:00:00+00:00,0.1,0.1,0.9
2025-06-28 00:00:00+00:00,0.1,0.1,0.9
2025-06-29 00:00:00+00:00,0.11,0.11,0.89
2025-06-30 00:00:00+00:00,0.11,0.11,0.89
2025-07-01 00:00:00+00:00,0.11,0.11,0.89
2025-07-02 00:00:00+00:00,0.11,0.11,0.89
2025-07-03 00:00:00+00:00,0.12,0.12,0.88
2025-07-04 00:00:00+00:00,0.1,0.1,0.9
2025-07-05 00:00:00+00:00,0.09,0.09,0.91
2025-07-06 00:00:00+00:00,0.09,0.09,0.91
2025-07-07 00:00:00+00:00,0.08,0.08,0.92
2025-07-08 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-09 00:00:00+00:00,0.06,0.06,0.94
2025-07-10 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-11 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-07-12 00:00:00+00:00,0.07,0.07,0.9299999999999999
