branch,stage1,stage1_prob_node,probability,terminal_resolution,base_prob_t_minus_5,step1_prob_level,horizon_steps,terminal_abnormal_return,max_drawdown
down->resolve_0,down,0.23442146866785557,0.3827892656660722,0,0.235,0.23442146866785557,5,173.50638435913658,0.0
down->resolve_1,down,0.23442146866785557,0.11721073433392779,1,0.235,0.23442146866785557,5,173.50638435913672,0.0
up->resolve_0,up,0.2355785313321444,0.3822107343339278,0,0.235,0.2355785313321444,5,173.50638435913652,0.0
up->resolve_1,up,0.2355785313321444,0.1177892656660722,1,0.235,0.2355785313321444,5,173.50638435913666,0.0
