terminal_resolution,terminal_label,n_sims,mean_cum_idio_pct,std_cum_idio_pct,q05_cum_idio_pct,median_cum_idio_pct,q95_cum_idio_pct,mean_max_drawdown_pct
1,Resolves to 1,1197,39675.100510868615,6871.393368211659,30334.870003439777,38767.645987561256,52550.48387743443,0.0
0,Resolves to 0,3803,39512.20233372671,6560.8074126009415,30131.614020192752,38821.683299773766,51750.93181758147,0.0
