"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"20/01/2025 23:30:00 - 20/01/2025 23:45:00","BZN|BE","Without Sequence","138.87","",""
"20/01/2025 23:45:00 - 21/01/2025 00:00:00","BZN|BE","Without Sequence","138.87","",""
"21/01/2025 00:00:00 - 21/01/2025 00:15:00","BZN|BE","Without Sequence","141.36","",""
"21/01/2025 00:15:00 - 21/01/2025 00:30:00","BZN|BE","Without Sequence","141.36","",""
"21/01/2025 00:30:00 - 21/01/2025 00:45:00","BZN|BE","Without Sequence","141.36","",""
"21/01/2025 00:45:00 - 21/01/2025 01:00:00","BZN|BE","Without Sequence","141.36","",""
"21/01/2025 01:00:00 - 21/01/2025 01:15:00","BZN|BE","Without Sequence","136.28","",""
"21/01/2025 01:15:00 - 21/01/2025 01:30:00","BZN|BE","Without Sequence","136.28","",""
"21/01/2025 01:30:00 - 21/01/2025 01:45:00","BZN|BE","Without Sequence","136.28","",""
"21/01/2025 01:45:00 - 21/01/2025 02:00:00","BZN|BE","Without Sequence","136.28","",""
"21/01/2025 02:00:00 - 21/01/2025 02:15:00","BZN|BE","Without Sequence","129.29","",""
"21/01/2025 02:15:00 - 21/01/2025 02:30:00","BZN|BE","Without Sequence","129.29","",""
"21/01/2025 02:30:00 - 21/01/2025 02:45:00","BZN|BE","Without Sequence","129.29","",""
"21/01/2025 02:45:00 - 21/01/2025 03:00:00","BZN|BE","Without Sequence","129.29","",""
"21/01/2025 03:00:00 - 21/01/2025 03:15:00","BZN|BE","Without Sequence","118.38","",""
"21/01/2025 03:15:00 - 21/01/2025 03:30:00","BZN|BE","Without Sequence","118.38","",""
"21/01/2025 03:30:00 - 21/01/2025 03:45:00","BZN|BE","Without Sequence","118.38","",""
"21/01/2025 03:45:00 - 21/01/2025 04:00:00","BZN|BE","Without Sequence","118.38","",""
"21/01/2025 04:00:00 - 21/01/2025 04:15:00","BZN|BE","Without Sequence","114.69","",""
"21/01/2025 04:15:00 - 21/01/2025 04:30:00","BZN|BE","Without Sequence","114.69","",""
"21/01/2025 04:30:00 - 21/01/2025 04:45:00","BZN|BE","Without Sequence","114.69","",""
"21/01/2025 04:45:00 - 21/01/2025 05:00:00","BZN|BE","Without Sequence","114.69","",""
"21/01/2025 05:00:00 - 21/01/2025 05:15:00","BZN|BE","Without Sequence","122.43","",""
"21/01/2025 05:15:00 - 21/01/2025 05:30:00","BZN|BE","Without Sequence","122.43","",""
"21/01/2025 05:30:00 - 21/01/2025 05:45:00","BZN|BE","Without Sequence","122.43","",""
"21/01/2025 05:45:00 - 21/01/2025 06:00:00","BZN|BE","Without Sequence","122.43","",""
"21/01/2025 06:00:00 - 21/01/2025 06:15:00","BZN|BE","Without Sequence","139.40","",""
"21/01/2025 06:15:00 - 21/01/2025 06:30:00","BZN|BE","Without Sequence","139.40","",""
"21/01/2025 06:30:00 - 21/01/2025 06:45:00","BZN|BE","Without Sequence","139.40","",""
"21/01/2025 06:45:00 - 21/01/2025 07:00:00","BZN|BE","Without Sequence","139.40","",""
"21/01/2025 07:00:00 - 21/01/2025 07:15:00","BZN|BE","Without Sequence","180.40","",""
"21/01/2025 07:15:00 - 21/01/2025 07:30:00","BZN|BE","Without Sequence","180.40","",""
"21/01/2025 07:30:00 - 21/01/2025 07:45:00","BZN|BE","Without Sequence","180.40","",""
"21/01/2025 07:45:00 - 21/01/2025 08:00:00","BZN|BE","Without Sequence","180.40","",""
"21/01/2025 08:00:00 - 21/01/2025 08:15:00","BZN|BE","Without Sequence","244.40","",""
"21/01/2025 08:15:00 - 21/01/2025 08:30:00","BZN|BE","Without Sequence","244.40","",""
"21/01/2025 08:30:00 - 21/01/2025 08:45:00","BZN|BE","Without Sequence","244.40","",""
"21/01/2025 08:45:00 - 21/01/2025 09:00:00","BZN|BE","Without Sequence","244.40","",""
"21/01/2025 09:00:00 - 21/01/2025 09:15:00","BZN|BE","Without Sequence","211.34","",""
"21/01/2025 09:15:00 - 21/01/2025 09:30:00","BZN|BE","Without Sequence","211.34","",""
"21/01/2025 09:30:00 - 21/01/2025 09:45:00","BZN|BE","Without Sequence","211.34","",""
"21/01/2025 09:45:00 - 21/01/2025 10:00:00","BZN|BE","Without Sequence","211.34","",""
"21/01/2025 10:00:00 - 21/01/2025 10:15:00","BZN|BE","Without Sequence","199.15","",""
"21/01/2025 10:15:00 - 21/01/2025 10:30:00","BZN|BE","Without Sequence","199.15","",""
"21/01/2025 10:30:00 - 21/01/2025 10:45:00","BZN|BE","Without Sequence","199.15","",""
"21/01/2025 10:45:00 - 21/01/2025 11:00:00","BZN|BE","Without Sequence","199.15","",""
"21/01/2025 11:00:00 - 21/01/2025 11:15:00","BZN|BE","Without Sequence","163.39","",""
"21/01/2025 11:15:00 - 21/01/2025 11:30:00","BZN|BE","Without Sequence","163.39","",""
"21/01/2025 11:30:00 - 21/01/2025 11:45:00","BZN|BE","Without Sequence","163.39","",""
"21/01/2025 11:45:00 - 21/01/2025 12:00:00","BZN|BE","Without Sequence","163.39","",""
"21/01/2025 12:00:00 - 21/01/2025 12:15:00","BZN|BE","Without Sequence","149.41","",""
"21/01/2025 12:15:00 - 21/01/2025 12:30:00","BZN|BE","Without Sequence","149.41","",""
"21/01/2025 12:30:00 - 21/01/2025 12:45:00","BZN|BE","Without Sequence","149.41","",""
"21/01/2025 12:45:00 - 21/01/2025 13:00:00","BZN|BE","Without Sequence","149.41","",""
"21/01/2025 13:00:00 - 21/01/2025 13:15:00","BZN|BE","Without Sequence","144.33","",""
"21/01/2025 13:15:00 - 21/01/2025 13:30:00","BZN|BE","Without Sequence","144.33","",""
"21/01/2025 13:30:00 - 21/01/2025 13:45:00","BZN|BE","Without Sequence","144.33","",""
"21/01/2025 13:45:00 - 21/01/2025 14:00:00","BZN|BE","Without Sequence","144.33","",""
"21/01/2025 14:00:00 - 21/01/2025 14:15:00","BZN|BE","Without Sequence","150.05","",""
"21/01/2025 14:15:00 - 21/01/2025 14:30:00","BZN|BE","Without Sequence","150.05","",""
"21/01/2025 14:30:00 - 21/01/2025 14:45:00","BZN|BE","Without Sequence","150.05","",""
"21/01/2025 14:45:00 - 21/01/2025 15:00:00","BZN|BE","Without Sequence","150.05","",""
"21/01/2025 15:00:00 - 21/01/2025 15:15:00","BZN|BE","Without Sequence","165.99","",""
"21/01/2025 15:15:00 - 21/01/2025 15:30:00","BZN|BE","Without Sequence","165.99","",""
"21/01/2025 15:30:00 - 21/01/2025 15:45:00","BZN|BE","Without Sequence","165.99","",""
"21/01/2025 15:45:00 - 21/01/2025 16:00:00","BZN|BE","Without Sequence","165.99","",""
"21/01/2025 16:00:00 - 21/01/2025 16:15:00","BZN|BE","Without Sequence","177.34","",""
"21/01/2025 16:15:00 - 21/01/2025 16:30:00","BZN|BE","Without Sequence","177.34","",""
"21/01/2025 16:30:00 - 21/01/2025 16:45:00","BZN|BE","Without Sequence","177.34","",""
"21/01/2025 16:45:00 - 21/01/2025 17:00:00","BZN|BE","Without Sequence","177.34","",""
"21/01/2025 17:00:00 - 21/01/2025 17:15:00","BZN|BE","Without Sequence","232.75","",""
"21/01/2025 17:15:00 - 21/01/2025 17:30:00","BZN|BE","Without Sequence","232.75","",""
"21/01/2025 17:30:00 - 21/01/2025 17:45:00","BZN|BE","Without Sequence","232.75","",""
"21/01/2025 17:45:00 - 21/01/2025 18:00:00","BZN|BE","Without Sequence","232.75","",""
"21/01/2025 18:00:00 - 21/01/2025 18:15:00","BZN|BE","Without Sequence","222.68","",""
"21/01/2025 18:15:00 - 21/01/2025 18:30:00","BZN|BE","Without Sequence","222.68","",""
"21/01/2025 18:30:00 - 21/01/2025 18:45:00","BZN|BE","Without Sequence","222.68","",""
"21/01/2025 18:45:00 - 21/01/2025 19:00:00","BZN|BE","Without Sequence","222.68","",""
"21/01/2025 19:00:00 - 21/01/2025 19:15:00","BZN|BE","Without Sequence","192.62","",""
"21/01/2025 19:15:00 - 21/01/2025 19:30:00","BZN|BE","Without Sequence","192.62","",""
"21/01/2025 19:30:00 - 21/01/2025 19:45:00","BZN|BE","Without Sequence","192.62","",""
"21/01/2025 19:45:00 - 21/01/2025 20:00:00","BZN|BE","Without Sequence","192.62","",""
"21/01/2025 20:00:00 - 21/01/2025 20:15:00","BZN|BE","Without Sequence","165.01","",""
"21/01/2025 20:15:00 - 21/01/2025 20:30:00","BZN|BE","Without Sequence","165.01","",""
"21/01/2025 20:30:00 - 21/01/2025 20:45:00","BZN|BE","Without Sequence","165.01","",""
"21/01/2025 20:45:00 - 21/01/2025 21:00:00","BZN|BE","Without Sequence","165.01","",""
"21/01/2025 21:00:00 - 21/01/2025 21:15:00","BZN|BE","Without Sequence","149.77","",""
"21/01/2025 21:15:00 - 21/01/2025 21:30:00","BZN|BE","Without Sequence","149.77","",""
"21/01/2025 21:30:00 - 21/01/2025 21:45:00","BZN|BE","Without Sequence","149.77","",""
"21/01/2025 21:45:00 - 21/01/2025 22:00:00","BZN|BE","Without Sequence","149.77","",""
"21/01/2025 22:00:00 - 21/01/2025 22:15:00","BZN|BE","Without Sequence","137.49","",""
"21/01/2025 22:15:00 - 21/01/2025 22:30:00","BZN|BE","Without Sequence","137.49","",""
"21/01/2025 22:30:00 - 21/01/2025 22:45:00","BZN|BE","Without Sequence","137.49","",""
"21/01/2025 22:45:00 - 21/01/2025 23:00:00","BZN|BE","Without Sequence","137.49","",""
"21/01/2025 23:00:00 - 21/01/2025 23:15:00","BZN|BE","Without Sequence","125.50","",""
"21/01/2025 23:15:00 - 21/01/2025 23:30:00","BZN|BE","Without Sequence","125.50","",""
"21/01/2025 23:30:00 - 21/01/2025 23:45:00","BZN|BE","Without Sequence","125.50","",""
"21/01/2025 23:45:00 - 22/01/2025 00:00:00","BZN|BE","Without Sequence","125.50","",""
"22/01/2025 00:00:00 - 22/01/2025 00:15:00","BZN|BE","Without Sequence","126.78","",""
"22/01/2025 00:15:00 - 22/01/2025 00:30:00","BZN|BE","Without Sequence","126.78","",""
"22/01/2025 00:30:00 - 22/01/2025 00:45:00","BZN|BE","Without Sequence","126.78","",""
"22/01/2025 00:45:00 - 22/01/2025 01:00:00","BZN|BE","Without Sequence","126.78","",""
"22/01/2025 01:00:00 - 22/01/2025 01:15:00","BZN|BE","Without Sequence","122.65","",""
"22/01/2025 01:15:00 - 22/01/2025 01:30:00","BZN|BE","Without Sequence","122.65","",""
"22/01/2025 01:30:00 - 22/01/2025 01:45:00","BZN|BE","Without Sequence","122.65","",""
"22/01/2025 01:45:00 - 22/01/2025 02:00:00","BZN|BE","Without Sequence","122.65","",""
"22/01/2025 02:00:00 - 22/01/2025 02:15:00","BZN|BE","Without Sequence","116.29","",""
"22/01/2025 02:15:00 - 22/01/2025 02:30:00","BZN|BE","Without Sequence","116.29","",""
"22/01/2025 02:30:00 - 22/01/2025 02:45:00","BZN|BE","Without Sequence","116.29","",""
"22/01/2025 02:45:00 - 22/01/2025 03:00:00","BZN|BE","Without Sequence","116.29","",""
"22/01/2025 03:00:00 - 22/01/2025 03:15:00","BZN|BE","Without Sequence","113.48","",""
"22/01/2025 03:15:00 - 22/01/2025 03:30:00","BZN|BE","Without Sequence","113.48","",""
"22/01/2025 03:30:00 - 22/01/2025 03:45:00","BZN|BE","Without Sequence","113.48","",""
"22/01/2025 03:45:00 - 22/01/2025 04:00:00","BZN|BE","Without Sequence","113.48","",""
"22/01/2025 04:00:00 - 22/01/2025 04:15:00","BZN|BE","Without Sequence","113.87","",""
"22/01/2025 04:15:00 - 22/01/2025 04:30:00","BZN|BE","Without Sequence","113.87","",""
"22/01/2025 04:30:00 - 22/01/2025 04:45:00","BZN|BE","Without Sequence","113.87","",""
"22/01/2025 04:45:00 - 22/01/2025 05:00:00","BZN|BE","Without Sequence","113.87","",""
"22/01/2025 05:00:00 - 22/01/2025 05:15:00","BZN|BE","Without Sequence","122.60","",""
"22/01/2025 05:15:00 - 22/01/2025 05:30:00","BZN|BE","Without Sequence","122.60","",""
"22/01/2025 05:30:00 - 22/01/2025 05:45:00","BZN|BE","Without Sequence","122.60","",""
"22/01/2025 05:45:00 - 22/01/2025 06:00:00","BZN|BE","Without Sequence","122.60","",""
"22/01/2025 06:00:00 - 22/01/2025 06:15:00","BZN|BE","Without Sequence","130.23","",""
"22/01/2025 06:15:00 - 22/01/2025 06:30:00","BZN|BE","Without Sequence","130.23","",""
"22/01/2025 06:30:00 - 22/01/2025 06:45:00","BZN|BE","Without Sequence","130.23","",""
"22/01/2025 06:45:00 - 22/01/2025 07:00:00","BZN|BE","Without Sequence","130.23","",""
"22/01/2025 07:00:00 - 22/01/2025 07:15:00","BZN|BE","Without Sequence","161.61","",""
"22/01/2025 07:15:00 - 22/01/2025 07:30:00","BZN|BE","Without Sequence","161.61","",""
"22/01/2025 07:30:00 - 22/01/2025 07:45:00","BZN|BE","Without Sequence","161.61","",""
"22/01/2025 07:45:00 - 22/01/2025 08:00:00","BZN|BE","Without Sequence","161.61","",""
"22/01/2025 08:00:00 - 22/01/2025 08:15:00","BZN|BE","Without Sequence","212.87","",""
"22/01/2025 08:15:00 - 22/01/2025 08:30:00","BZN|BE","Without Sequence","212.87","",""
"22/01/2025 08:30:00 - 22/01/2025 08:45:00","BZN|BE","Without Sequence","212.87","",""
"22/01/2025 08:45:00 - 22/01/2025 09:00:00","BZN|BE","Without Sequence","212.87","",""
"22/01/2025 09:00:00 - 22/01/2025 09:15:00","BZN|BE","Without Sequence","199.41","",""
"22/01/2025 09:15:00 - 22/01/2025 09:30:00","BZN|BE","Without Sequence","199.41","",""
"22/01/2025 09:30:00 - 22/01/2025 09:45:00","BZN|BE","Without Sequence","199.41","",""
"22/01/2025 09:45:00 - 22/01/2025 10:00:00","BZN|BE","Without Sequence","199.41","",""
"22/01/2025 10:00:00 - 22/01/2025 10:15:00","BZN|BE","Without Sequence","179.06","",""
"22/01/2025 10:15:00 - 22/01/2025 10:30:00","BZN|BE","Without Sequence","179.06","",""
"22/01/2025 10:30:00 - 22/01/2025 10:45:00","BZN|BE","Without Sequence","179.06","",""
"22/01/2025 10:45:00 - 22/01/2025 11:00:00","BZN|BE","Without Sequence","179.06","",""
"22/01/2025 11:00:00 - 22/01/2025 11:15:00","BZN|BE","Without Sequence","172.94","",""
"22/01/2025 11:15:00 - 22/01/2025 11:30:00","BZN|BE","Without Sequence","172.94","",""
"22/01/2025 11:30:00 - 22/01/2025 11:45:00","BZN|BE","Without Sequence","172.94","",""
"22/01/2025 11:45:00 - 22/01/2025 12:00:00","BZN|BE","Without Sequence","172.94","",""
"22/01/2025 12:00:00 - 22/01/2025 12:15:00","BZN|BE","Without Sequence","165.00","",""
"22/01/2025 12:15:00 - 22/01/2025 12:30:00","BZN|BE","Without Sequence","165.00","",""
"22/01/2025 12:30:00 - 22/01/2025 12:45:00","BZN|BE","Without Sequence","165.00","",""
"22/01/2025 12:45:00 - 22/01/2025 13:00:00","BZN|BE","Without Sequence","165.00","",""
"22/01/2025 13:00:00 - 22/01/2025 13:15:00","BZN|BE","Without Sequence","170.00","",""
"22/01/2025 13:15:00 - 22/01/2025 13:30:00","BZN|BE","Without Sequence","170.00","",""
"22/01/2025 13:30:00 - 22/01/2025 13:45:00","BZN|BE","Without Sequence","170.00","",""
"22/01/2025 13:45:00 - 22/01/2025 14:00:00","BZN|BE","Without Sequence","170.00","",""
"22/01/2025 14:00:00 - 22/01/2025 14:15:00","BZN|BE","Without Sequence","178.06","",""
"22/01/2025 14:15:00 - 22/01/2025 14:30:00","BZN|BE","Without Sequence","178.06","",""
"22/01/2025 14:30:00 - 22/01/2025 14:45:00","BZN|BE","Without Sequence","178.06","",""
"22/01/2025 14:45:00 - 22/01/2025 15:00:00","BZN|BE","Without Sequence","178.06","",""
"22/01/2025 15:00:00 - 22/01/2025 15:15:00","BZN|BE","Without Sequence","188.61","",""
"22/01/2025 15:15:00 - 22/01/2025 15:30:00","BZN|BE","Without Sequence","188.61","",""
"22/01/2025 15:30:00 - 22/01/2025 15:45:00","BZN|BE","Without Sequence","188.61","",""
"22/01/2025 15:45:00 - 22/01/2025 16:00:00","BZN|BE","Without Sequence","188.61","",""
"22/01/2025 16:00:00 - 22/01/2025 16:15:00","BZN|BE","Without Sequence","176.34","",""
"22/01/2025 16:15:00 - 22/01/2025 16:30:00","BZN|BE","Without Sequence","176.34","",""
"22/01/2025 16:30:00 - 22/01/2025 16:45:00","BZN|BE","Without Sequence","176.34","",""
"22/01/2025 16:45:00 - 22/01/2025 17:00:00","BZN|BE","Without Sequence","176.34","",""
"22/01/2025 17:00:00 - 22/01/2025 17:15:00","BZN|BE","Without Sequence","168.33","",""
"22/01/2025 17:15:00 - 22/01/2025 17:30:00","BZN|BE","Without Sequence","168.33","",""
"22/01/2025 17:30:00 - 22/01/2025 17:45:00","BZN|BE","Without Sequence","168.33","",""
"22/01/2025 17:45:00 - 22/01/2025 18:00:00","BZN|BE","Without Sequence","168.33","",""
"22/01/2025 18:00:00 - 22/01/2025 18:15:00","BZN|BE","Without Sequence","166.12","",""
"22/01/2025 18:15:00 - 22/01/2025 18:30:00","BZN|BE","Without Sequence","166.12","",""
"22/01/2025 18:30:00 - 22/01/2025 18:45:00","BZN|BE","Without Sequence","166.12","",""
"22/01/2025 18:45:00 - 22/01/2025 19:00:00","BZN|BE","Without Sequence","166.12","",""
"22/01/2025 19:00:00 - 22/01/2025 19:15:00","BZN|BE","Without Sequence","167.08","",""
"22/01/2025 19:15:00 - 22/01/2025 19:30:00","BZN|BE","Without Sequence","167.08","",""
"22/01/2025 19:30:00 - 22/01/2025 19:45:00","BZN|BE","Without Sequence","167.08","",""
"22/01/2025 19:45:00 - 22/01/2025 20:00:00","BZN|BE","Without Sequence","167.08","",""
"22/01/2025 20:00:00 - 22/01/2025 20:15:00","BZN|BE","Without Sequence","137.07","",""
"22/01/2025 20:15:00 - 22/01/2025 20:30:00","BZN|BE","Without Sequence","137.07","",""
"22/01/2025 20:30:00 - 22/01/2025 20:45:00","BZN|BE","Without Sequence","137.07","",""
"22/01/2025 20:45:00 - 22/01/2025 21:00:00","BZN|BE","Without Sequence","137.07","",""
"22/01/2025 21:00:00 - 22/01/2025 21:15:00","BZN|BE","Without Sequence","127.78","",""
"22/01/2025 21:15:00 - 22/01/2025 21:30:00","BZN|BE","Without Sequence","127.78","",""
"22/01/2025 21:30:00 - 22/01/2025 21:45:00","BZN|BE","Without Sequence","127.78","",""
"22/01/2025 21:45:00 - 22/01/2025 22:00:00","BZN|BE","Without Sequence","127.78","",""
"22/01/2025 22:00:00 - 22/01/2025 22:15:00","BZN|BE","Without Sequence","129.01","",""
"22/01/2025 22:15:00 - 22/01/2025 22:30:00","BZN|BE","Without Sequence","129.01","",""
"22/01/2025 22:30:00 - 22/01/2025 22:45:00","BZN|BE","Without Sequence","129.01","",""
"22/01/2025 22:45:00 - 22/01/2025 23:00:00","BZN|BE","Without Sequence","129.01","",""
"22/01/2025 23:00:00 - 22/01/2025 23:15:00","BZN|BE","Without Sequence","115.49","",""
"22/01/2025 23:15:00 - 22/01/2025 23:30:00","BZN|BE","Without Sequence","115.49","",""
"22/01/2025 23:30:00 - 22/01/2025 23:45:00","BZN|BE","Without Sequence","115.49","",""
"22/01/2025 23:45:00 - 23/01/2025 00:00:00","BZN|BE","Without Sequence","115.49","",""
"23/01/2025 00:00:00 - 23/01/2025 00:15:00","BZN|BE","Without Sequence","114.17","",""
"23/01/2025 00:15:00 - 23/01/2025 00:30:00","BZN|BE","Without Sequence","114.17","",""
"23/01/2025 00:30:00 - 23/01/2025 00:45:00","BZN|BE","Without Sequence","114.17","",""
"23/01/2025 00:45:00 - 23/01/2025 01:00:00","BZN|BE","Without Sequence","114.17","",""
"23/01/2025 01:00:00 - 23/01/2025 01:15:00","BZN|BE","Without Sequence","109.34","",""
"23/01/2025 01:15:00 - 23/01/2025 01:30:00","BZN|BE","Without Sequence","109.34","",""
"23/01/2025 01:30:00 - 23/01/2025 01:45:00","BZN|BE","Without Sequence","109.34","",""
"23/01/2025 01:45:00 - 23/01/2025 02:00:00","BZN|BE","Without Sequence","109.34","",""
"23/01/2025 02:00:00 - 23/01/2025 02:15:00","BZN|BE","Without Sequence","105.67","",""
"23/01/2025 02:15:00 - 23/01/2025 02:30:00","BZN|BE","Without Sequence","105.67","",""
"23/01/2025 02:30:00 - 23/01/2025 02:45:00","BZN|BE","Without Sequence","105.67","",""
"23/01/2025 02:45:00 - 23/01/2025 03:00:00","BZN|BE","Without Sequence","105.67","",""
"23/01/2025 03:00:00 - 23/01/2025 03:15:00","BZN|BE","Without Sequence","100.17","",""
"23/01/2025 03:15:00 - 23/01/2025 03:30:00","BZN|BE","Without Sequence","100.17","",""
"23/01/2025 03:30:00 - 23/01/2025 03:45:00","BZN|BE","Without Sequence","100.17","",""
"23/01/2025 03:45:00 - 23/01/2025 04:00:00","BZN|BE","Without Sequence","100.17","",""
"23/01/2025 04:00:00 - 23/01/2025 04:15:00","BZN|BE","Without Sequence","97.99","",""
"23/01/2025 04:15:00 - 23/01/2025 04:30:00","BZN|BE","Without Sequence","97.99","",""
"23/01/2025 04:30:00 - 23/01/2025 04:45:00","BZN|BE","Without Sequence","97.99","",""
"23/01/2025 04:45:00 - 23/01/2025 05:00:00","BZN|BE","Without Sequence","97.99","",""
"23/01/2025 05:00:00 - 23/01/2025 05:15:00","BZN|BE","Without Sequence","100.88","",""
"23/01/2025 05:15:00 - 23/01/2025 05:30:00","BZN|BE","Without Sequence","100.88","",""
"23/01/2025 05:30:00 - 23/01/2025 05:45:00","BZN|BE","Without Sequence","100.88","",""
"23/01/2025 05:45:00 - 23/01/2025 06:00:00","BZN|BE","Without Sequence","100.88","",""
"23/01/2025 06:00:00 - 23/01/2025 06:15:00","BZN|BE","Without Sequence","110.58","",""
"23/01/2025 06:15:00 - 23/01/2025 06:30:00","BZN|BE","Without Sequence","110.58","",""
"23/01/2025 06:30:00 - 23/01/2025 06:45:00","BZN|BE","Without Sequence","110.58","",""
"23/01/2025 06:45:00 - 23/01/2025 07:00:00","BZN|BE","Without Sequence","110.58","",""
"23/01/2025 07:00:00 - 23/01/2025 07:15:00","BZN|BE","Without Sequence","139.67","",""
"23/01/2025 07:15:00 - 23/01/2025 07:30:00","BZN|BE","Without Sequence","139.67","",""
"23/01/2025 07:30:00 - 23/01/2025 07:45:00","BZN|BE","Without Sequence","139.67","",""
"23/01/2025 07:45:00 - 23/01/2025 08:00:00","BZN|BE","Without Sequence","139.67","",""
"23/01/2025 08:00:00 - 23/01/2025 08:15:00","BZN|BE","Without Sequence","159.71","",""
"23/01/2025 08:15:00 - 23/01/2025 08:30:00","BZN|BE","Without Sequence","159.71","",""
"23/01/2025 08:30:00 - 23/01/2025 08:45:00","BZN|BE","Without Sequence","159.71","",""
"23/01/2025 08:45:00 - 23/01/2025 09:00:00","BZN|BE","Without Sequence","159.71","",""
"23/01/2025 09:00:00 - 23/01/2025 09:15:00","BZN|BE","Without Sequence","156.46","",""
"23/01/2025 09:15:00 - 23/01/2025 09:30:00","BZN|BE","Without Sequence","156.46","",""
"23/01/2025 09:30:00 - 23/01/2025 09:45:00","BZN|BE","Without Sequence","156.46","",""
"23/01/2025 09:45:00 - 23/01/2025 10:00:00","BZN|BE","Without Sequence","156.46","",""
"23/01/2025 10:00:00 - 23/01/2025 10:15:00","BZN|BE","Without Sequence","136.00","",""
"23/01/2025 10:15:00 - 23/01/2025 10:30:00","BZN|BE","Without Sequence","136.00","",""
"23/01/2025 10:30:00 - 23/01/2025 10:45:00","BZN|BE","Without Sequence","136.00","",""
"23/01/2025 10:45:00 - 23/01/2025 11:00:00","BZN|BE","Without Sequence","136.00","",""
"23/01/2025 11:00:00 - 23/01/2025 11:15:00","BZN|BE","Without Sequence","124.83","",""
"23/01/2025 11:15:00 - 23/01/2025 11:30:00","BZN|BE","Without Sequence","124.83","",""
"23/01/2025 11:30:00 - 23/01/2025 11:45:00","BZN|BE","Without Sequence","124.83","",""
"23/01/2025 11:45:00 - 23/01/2025 12:00:00","BZN|BE","Without Sequence","124.83","",""
"23/01/2025 12:00:00 - 23/01/2025 12:15:00","BZN|BE","Without Sequence","104.18","",""
"23/01/2025 12:15:00 - 23/01/2025 12:30:00","BZN|BE","Without Sequence","104.18","",""
"23/01/2025 12:30:00 - 23/01/2025 12:45:00","BZN|BE","Without Sequence","104.18","",""
"23/01/2025 12:45:00 - 23/01/2025 13:00:00","BZN|BE","Without Sequence","104.18","",""
"23/01/2025 13:00:00 - 23/01/2025 13:15:00","BZN|BE","Without Sequence","96.39","",""
"23/01/2025 13:15:00 - 23/01/2025 13:30:00","BZN|BE","Without Sequence","96.39","",""
"23/01/2025 13:30:00 - 23/01/2025 13:45:00","BZN|BE","Without Sequence","96.39","",""
"23/01/2025 13:45:00 - 23/01/2025 14:00:00","BZN|BE","Without Sequence","96.39","",""
"23/01/2025 14:00:00 - 23/01/2025 14:15:00","BZN|BE","Without Sequence","94.79","",""
"23/01/2025 14:15:00 - 23/01/2025 14:30:00","BZN|BE","Without Sequence","94.79","",""
"23/01/2025 14:30:00 - 23/01/2025 14:45:00","BZN|BE","Without Sequence","94.79","",""
"23/01/2025 14:45:00 - 23/01/2025 15:00:00","BZN|BE","Without Sequence","94.79","",""
"23/01/2025 15:00:00 - 23/01/2025 15:15:00","BZN|BE","Without Sequence","95.61","",""
"23/01/2025 15:15:00 - 23/01/2025 15:30:00","BZN|BE","Without Sequence","95.61","",""
"23/01/2025 15:30:00 - 23/01/2025 15:45:00","BZN|BE","Without Sequence","95.61","",""
"23/01/2025 15:45:00 - 23/01/2025 16:00:00","BZN|BE","Without Sequence","95.61","",""
"23/01/2025 16:00:00 - 23/01/2025 16:15:00","BZN|BE","Without Sequence","95.71","",""
"23/01/2025 16:15:00 - 23/01/2025 16:30:00","BZN|BE","Without Sequence","95.71","",""
"23/01/2025 16:30:00 - 23/01/2025 16:45:00","BZN|BE","Without Sequence","95.71","",""
"23/01/2025 16:45:00 - 23/01/2025 17:00:00","BZN|BE","Without Sequence","95.71","",""
"23/01/2025 17:00:00 - 23/01/2025 17:15:00","BZN|BE","Without Sequence","111.41","",""
"23/01/2025 17:15:00 - 23/01/2025 17:30:00","BZN|BE","Without Sequence","111.41","",""
"23/01/2025 17:30:00 - 23/01/2025 17:45:00","BZN|BE","Without Sequence","111.41","",""
"23/01/2025 17:45:00 - 23/01/2025 18:00:00","BZN|BE","Without Sequence","111.41","",""
"23/01/2025 18:00:00 - 23/01/2025 18:15:00","BZN|BE","Without Sequence","119.29","",""
"23/01/2025 18:15:00 - 23/01/2025 18:30:00","BZN|BE","Without Sequence","119.29","",""
"23/01/2025 18:30:00 - 23/01/2025 18:45:00","BZN|BE","Without Sequence","119.29","",""
"23/01/2025 18:45:00 - 23/01/2025 19:00:00","BZN|BE","Without Sequence","119.29","",""
"23/01/2025 19:00:00 - 23/01/2025 19:15:00","BZN|BE","Without Sequence","113.06","",""
"23/01/2025 19:15:00 - 23/01/2025 19:30:00","BZN|BE","Without Sequence","113.06","",""
"23/01/2025 19:30:00 - 23/01/2025 19:45:00","BZN|BE","Without Sequence","113.06","",""
"23/01/2025 19:45:00 - 23/01/2025 20:00:00","BZN|BE","Without Sequence","113.06","",""
"23/01/2025 20:00:00 - 23/01/2025 20:15:00","BZN|BE","Without Sequence","93.34","",""
"23/01/2025 20:15:00 - 23/01/2025 20:30:00","BZN|BE","Without Sequence","93.34","",""
"23/01/2025 20:30:00 - 23/01/2025 20:45:00","BZN|BE","Without Sequence","93.34","",""
"23/01/2025 20:45:00 - 23/01/2025 21:00:00","BZN|BE","Without Sequence","93.34","",""
