"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|BE","Without Sequence","37.14","",""
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|BE","Without Sequence","37.14","",""
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|BE","Without Sequence","26.32","",""
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|BE","Without Sequence","26.32","",""
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|BE","Without Sequence","26.32","",""
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|BE","Without Sequence","26.32","",""
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|BE","Without Sequence","22.10","",""
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|BE","Without Sequence","22.10","",""
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|BE","Without Sequence","22.10","",""
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|BE","Without Sequence","22.10","",""
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|BE","Without Sequence","19.28","",""
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|BE","Without Sequence","19.28","",""
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|BE","Without Sequence","19.28","",""
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|BE","Without Sequence","19.28","",""
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|BE","Without Sequence","41.92","",""
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|BE","Without Sequence","41.92","",""
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|BE","Without Sequence","41.92","",""
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|BE","Without Sequence","41.92","",""
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|BE","Without Sequence","57.95","",""
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|BE","Without Sequence","57.95","",""
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|BE","Without Sequence","57.95","",""
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|BE","Without Sequence","57.95","",""
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|BE","Without Sequence","59.23","",""
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|BE","Without Sequence","59.23","",""
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|BE","Without Sequence","59.23","",""
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|BE","Without Sequence","59.23","",""
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|BE","Without Sequence","45.86","",""
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|BE","Without Sequence","45.86","",""
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|BE","Without Sequence","45.86","",""
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|BE","Without Sequence","45.86","",""
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|BE","Without Sequence","38.46","",""
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|BE","Without Sequence","38.46","",""
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|BE","Without Sequence","38.46","",""
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|BE","Without Sequence","38.46","",""
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|BE","Without Sequence","32.07","",""
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|BE","Without Sequence","32.07","",""
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|BE","Without Sequence","32.07","",""
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|BE","Without Sequence","32.07","",""
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|BE","Without Sequence","25.49","",""
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|BE","Without Sequence","25.49","",""
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|BE","Without Sequence","25.49","",""
