timestamp,price_No,price_Yes,price_Yes_nuclear,Country Hourly - Belgium,BE Temp (C),BE Precipitation (mm),BE Wind Speed (km/h),pct_BE_actual_load,pct_BE_forecast_load,pct_BE_forecast_vs_actual_load
2025-01-01 00:00:00+00:00,0.78,0.22,0.22,23.62708333333333,6.6041665,11.0,27.924313,,,-1.5998624029668118
2025-01-02 00:00:00+00:00,0.8,0.2,0.2,115.65208333333334,2.904167,8.0,10.333981,17.732579884238664,24.726871649587512,4.245921939658137
2025-01-03 00:00:00+00:00,0.81,0.19,0.19,120.50083333333333,0.68750006,0.0,13.145383,4.416462898953322,0.9775233538459105,0.8125991338339578
2025-01-04 00:00:00+00:00,0.8200000000000001,0.18,0.18,122.08749999999999,1.0041667,0.1,9.542207,-5.164294304230244,-9.214240427283427,-3.492589423804382
2025-01-05 00:00:00+00:00,0.8200000000000001,0.18,0.18,53.13666666666666,7.5854163,26.399998,22.833347,-3.737612710992666,-2.4851706670450002,-2.2369594528245274
2025-01-06 00:00:00+00:00,0.81,0.19,0.19,39.800000000000004,8.56875,5.3,28.074978,8.74232417742311,10.292596120689069,-0.8432123539361847
2025-01-07 00:00:00+00:00,0.81,0.19,0.19,80.35541666666667,2.7999995,4.7999997,19.114307,3.878236664198398,7.223393311951409,2.34990102587902
2025-01-08 00:00:00+00:00,0.8200000000000001,0.18,0.18,110.88666666666667,1.2875001,12.700001,12.082793,3.795136946617794,1.4394319923508814,0.026996735677120576
2025-01-09 00:00:00+00:00,0.8,0.2,0.2,106.1425,0.26250002,11.200002,14.094057,-0.27148178214634333,-0.2283737347017034,0.07023380164463688
2025-01-10 00:00:00+00:00,0.8,0.2,0.2,113.925,-1.4437499,0.0,10.387309,0.7931105626677315,0.2599425882080064,-0.459110352552905
2025-01-11 00:00:00+00:00,0.8,0.2,0.2,109.34625,-1.8375005,0.0,7.3593593,-5.772025059610519,-8.19645288794334,-3.020236207915372
2025-01-12 00:00:00+00:00,0.8,0.2,0.2,111.93875000000001,0.38125005,0.0,3.6521072,-5.332474294886492,-4.029927435545511,-1.6858748648240218
2025-01-13 00:00:00+00:00,0.8,0.2,0.2,128.67625,-1.7958335,0.0,4.1325636,11.071529663948109,12.315245446592904,-0.5850092383445693
2025-01-14 00:00:00+00:00,0.81,0.19,0.19,136.01,-0.5041666,0.0,9.618356,5.180776429123979,2.8631346771277766,-2.7756028162384427
2025-01-15 00:00:00+00:00,0.81,0.19,0.19,185.70416666666665,3.002083,0.3,4.6786027,-2.810469334161869,-0.9605811591957614,-0.925050998195065
2025-01-16 00:00:00+00:00,0.8,0.2,0.2,141.09708333333333,2.0604167,0.0,5.1019344,0.30862986580291185,-1.2243516575726532,-2.4391786106680358
2025-01-17 00:00:00+00:00,0.8,0.2,0.2,143.17375,-0.65625006,0.0,3.2545543,1.5632778434843786,0.24721158630669482,-3.7033806705001893
2025-01-18 00:00:00+00:00,0.8,0.2,0.2,132.86708333333334,-1.2687501,0.0,5.5328417,-7.1245118475653735,-6.765824609971749,-3.3314809468592887
2025-01-19 00:00:00+00:00,0.8,0.2,0.2,128.13916666666668,-1.7895836,0.0,3.2498937,-6.880262984887753,-4.229714861508771,-0.5799207515749694
2025-01-20 00:00:00+00:00,0.81,0.19,0.19,210.4416666666667,-1.0479168,0.6,4.751378,16.42916450584353,10.21996515376542,-5.882020910696961
2025-01-21 00:00:00+00:00,0.81,0.19,0.19,162.45291666666665,-0.049999993,0.0,7.5786824,0.07326339226696454,2.837104146248204,-3.282654232009552
2025-01-22 00:00:00+00:00,0.81,0.19,0.19,152.00291666666666,3.6937501,11.0,11.686266,-0.5357744488930893,-1.4753314677169893,-4.1962637288395666
2025-01-23 00:00:00+00:00,0.81,0.19,0.19,106.675,4.8624997,4.4,18.468176,-1.901068525974836,-1.2339357457187838,-3.544739680849096
2025-01-24 00:00:00+00:00,0.81,0.19,0.19,78.49708333333334,7.4583325,11.599999,20.228603,-3.1519143063911015,-1.1523494109050292,-1.553285217522804
2025-01-25 00:00:00+00:00,0.81,0.19,0.19,93.86833333333334,6.8958325,19.6,10.8757105,-9.582607348677307,-9.819634435013969,-1.8113609845855971
2025-01-26 00:00:00+00:00,0.79,0.21,0.21,80.72833333333334,4.1916666,3.0999997,16.269705,-2.0079248869803057,-3.193007583387286,-2.9988208577101494
2025-01-27 00:00:00+00:00,0.8,0.2,0.2,52.7275,9.014584,2.8,25.142962,9.316456482836365,12.672376480726744,-0.020969147399119148
2025-01-28 00:00:00+00:00,0.79,0.21,0.21,69.92791666666666,7.5645833,0.6,22.617985,-1.0492259355321831,0.9018034719919577,1.9503345758249413
2025-01-29 00:00:00+00:00,0.81,0.19,0.19,99.98708333333333,6.9145837,7.5,16.33484,-0.7646360920707473,-0.28622516111850294,2.4418343048989932
