simulation,timestamp_t0,model_used,scenario,branch,terminal_resolution_nuclear,terminal_resolution_ukraine,terminal_abnormal_return,max_drawdown,ret_step1_nuclear,ret_terminal_nuclear,ret_step1_ukraine,ret_terminal_ukraine,idio_path_std
3951,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.8368914691503836,-0.867740569826989,-14.28571428571428,-100.0,9.090909090909104,-100.0,27.319086573481275
3952,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.38927949832830344,-0.7276546992129163,14.285714285714256,-100.0,9.090909090909104,-100.0,58.46560169045778
3953,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.7523129144271091,-0.7642746256897089,14.285714285714256,-100.0,-18.181818181818176,-100.0,15.828886290647585
3954,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-6.490629194492375,-5.0467436552584175,14.285714285714256,-100.0,9.090909090909104,-100.0,275.86326215145243
3955,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,0.09939260205639999,-0.4288847182308205,14.285714285714256,-100.0,-18.181818181818176,-100.0,27.546456912616254
3956,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.2749341630900146,-0.628200712237327,-14.28571428571428,-100.0,9.090909090909104,-100.0,33.08548949788241
3957,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.8167785912466838,-0.8052209951813337,-14.28571428571428,-100.0,-18.181818181818176,-100.0,16.436454492917655
3958,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.5997817836931382,-0.7731433263973896,-14.28571428571428,-100.0,-18.181818181818176,-100.0,46.50707354047233
3959,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,2.4492730680947816,-0.19502004052128463,14.285714285714256,-100.0,-18.181818181818176,-100.0,38.828872915364414
3960,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.4516936315389396,-0.6128727518141324,14.285714285714256,-100.0,9.090909090909104,-100.0,28.017333187138227
3961,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:down->0 | U:down->1,0,1,0.8015197879370612,-0.3994833336439061,-14.28571428571428,-100.0,-18.181818181818176,1011.1111111111109,32.92239527050112
3962,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:up->0 | U:down->1,0,1,-0.1564227679937561,-0.6117067599299804,14.285714285714256,-100.0,-18.181818181818176,1011.1111111111109,41.957630708812786
3963,2025-09-25 00:00:00+00:00,VAR,N:1|U:0,N:down->1 | U:up->0,1,0,-0.8068177332006561,-0.8128387476618555,-14.28571428571428,1566.6666666666665,9.090909090909104,-100.0,22.411548504214437
3964,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.6507739086823605,-0.7562192642843035,-14.28571428571428,-100.0,-18.181818181818176,-100.0,35.91790003289253
3965,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.8349571564062837,-0.8827607646442899,14.285714285714256,-100.0,-18.181818181818176,-100.0,39.69133030540392
3966,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:down->0 | U:up->1,0,1,-0.618828422785143,-0.6616936859298548,-14.28571428571428,-100.0,9.090909090909104,733.3333333333333,24.85759797272318
3967,2025-09-25 00:00:00+00:00,VAR,N:1|U:0,N:down->1 | U:down->0,1,0,-0.7964696325607469,-0.8020268579791021,-14.28571428571428,1566.6666666666665,-18.181818181818176,-100.0,24.612526766339897
3968,2025-09-25 00:00:00+00:00,VAR,N:1|U:0,N:up->1 | U:down->0,1,0,-3.1481373243549697,-4.498950234199674,14.285714285714256,1150.0000000000002,-18.181818181818176,-100.0,254.49258712109915
3969,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,0.39478914090137907,-0.5333914757653178,14.285714285714256,-100.0,-18.181818181818176,-100.0,79.62045882740514
3970,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.04437936672170473,-0.6105144063083932,14.285714285714256,-100.0,-18.181818181818176,-100.0,49.881085777535866
3971,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.6401511603105003,-0.6825564906396336,-14.28571428571428,-100.0,9.090909090909104,-100.0,20.826696014222666
3972,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.7716631802563174,-0.8693497323376229,14.285714285714256,-100.0,-18.181818181818176,-100.0,50.92445215223478
3973,2025-09-25 00:00:00+00:00,VAR,N:1|U:0,N:up->1 | U:down->0,1,0,0.34256130251764794,-0.3578239499193525,14.285714285714256,1150.0000000000002,-18.181818181818176,-100.0,38.78430818990033
3974,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,0.030565333485075064,-0.6120438889416585,-14.28571428571428,-100.0,9.090909090909104,-100.0,50.15938787212752
3975,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.758290728266817,-0.7006209101616123,14.285714285714256,-100.0,-18.181818181818176,-100.0,5.178174330383631
3976,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,3.414600971448393,-0.3673777483666242,-14.28571428571428,-100.0,9.090909090909104,-100.0,104.56150542822566
3977,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,0.5621199583867027,-0.2668930073974418,14.285714285714256,-100.0,-18.181818181818176,-100.0,30.536652355627137
3978,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.5970036791453015,-0.665266407893512,14.285714285714256,-100.0,-18.181818181818176,-100.0,26.464607723898027
3979,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.09362678975587935,-0.7895298379906481,14.285714285714256,-100.0,-18.181818181818176,-100.0,88.85661961472412
3980,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.6029194017435373,-0.7507076997315655,-14.28571428571428,-100.0,9.090909090909104,-100.0,38.29208476230999
3981,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.9108246175234228,-0.9259298545442127,14.285714285714256,-100.0,-18.181818181818176,-100.0,34.49123621431768
3982,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.80656409124335,-0.5511304085617466,-14.28571428571428,-100.0,9.090909090909104,-100.0,16.671888226721713
3983,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,3.412456098234861,-0.2969770565290568,-14.28571428571428,-100.0,-18.181818181818176,-100.0,50.47684046987505
3984,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.5054693064924192,-0.6458834984710776,14.285714285714256,-100.0,9.090909090909104,-100.0,26.570380485546185
3985,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.696296522238549,-0.8000196184831059,14.285714285714256,-100.0,-18.181818181818176,-100.0,40.72766922497362
3986,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.002200443759296511,-0.5618055303065065,-14.28571428571428,-100.0,-18.181818181818176,-100.0,58.91130167462595
3987,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.7221301231026489,-0.6598049291732111,-14.28571428571428,-100.0,-18.181818181818176,-100.0,13.349784695305015
3988,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:down->0 | U:up->1,0,1,-0.9071849379573643,-0.8796502066031565,-14.28571428571428,-100.0,9.090909090909104,733.3333333333333,25.861039916332164
3989,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.9811035572621415,-0.9825064450289279,-14.28571428571428,-100.0,9.090909090909104,-100.0,33.16540915978588
3990,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,0.18663801131546243,-0.3979409823685214,14.285714285714256,-100.0,-18.181818181818176,-100.0,50.69050460186103
3991,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-1.0054801462933292,-1.0052055314566575,14.285714285714256,-100.0,-18.181818181818176,-100.0,52.02124432478843
3992,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.5684757354923828,-0.6693967519327646,14.285714285714256,-100.0,9.090909090909104,-100.0,32.799378611344785
