simulation,scenario,elec_step_0,elec_step_1,elec_step_2,elec_step_3,elec_step_4,elec_step_5
0,N:0|U:0,78.085,96.51375371608248,96.0353843398449,83.48245784196368,142.3097137320007,169.8133409763217
1,N:0|U:0,78.085,113.34823080321753,76.3065375993158,31.85013157810964,28.328262770376618,28.240563690743553
2,N:0|U:0,78.085,109.21766697415968,43.40794034274979,28.35135529189183,47.71141593931429,50.07293708187896
3,N:0|U:0,78.085,125.40266869003987,51.93944197972923,38.2367085842338,48.855420396782925,63.12815531326728
4,N:1|U:0,78.085,153.38944221218745,115.12121592916796,55.53379647290553,109.9806993929548,96.61424133171612
5,N:0|U:0,78.085,79.82453667122775,36.13517030451721,3.1179758102242454,1.6156483221129536,1.265238068967146
6,N:0|U:0,78.085,115.5260555058551,45.25760325302981,33.92212916683605,46.40354427227685,43.013652871858675
7,N:0|U:0,78.085,56.97516081438301,54.323368206279035,37.838757088604346,15.673679811232539,9.306034036736905
8,N:0|U:0,78.085,110.26320419333877,80.9305375770409,70.59538461165354,114.85326775652739,101.43593804641117
9,N:0|U:0,78.085,106.47295136246206,91.98939443169365,33.51221963778513,21.596014367138384,17.671461512262116
10,N:0|U:1,78.085,75.02924913702091,60.47214932210436,27.750474787809253,16.39654352557587,17.33882618615884
11,N:0|U:0,78.085,125.6306546676381,134.39404516359866,170.52591434704937,161.23024822116903,72.25816698427342
12,N:0|U:0,78.085,96.26122746430757,49.72588991415582,4.639390689774815,4.548294297376013,6.898395829237164
13,N:0|U:0,78.085,92.5386486700709,69.93585319857927,34.69374400429385,22.979059203584224,20.55295752555409
14,N:0|U:0,78.085,80.50942985246114,82.4118445809168,34.394104813989316,33.58758126144582,7.573913677045157
15,N:0|U:0,78.085,126.60954113483486,195.0484031442956,114.61885786443332,83.35653204584797,173.97280145817345
16,N:0|U:0,78.085,106.56690867475939,95.44528342617633,41.4055182447725,31.367515675516245,26.521045747615393
17,N:0|U:0,78.085,166.48049070381938,148.74741626346196,113.4495739329716,98.2172854277068,111.2629926510037
18,N:0|U:0,78.085,130.23460864708085,105.20206900471854,71.43480274542856,45.276332221814165,61.592487973124825
19,N:0|U:0,78.085,99.72444952029876,58.66494195452768,22.80586070242165,14.74699728764771,27.678379137760743
20,N:0|U:0,78.085,144.2914646965719,176.94484983805623,246.2028246443748,197.07186394212877,174.52816203008987
21,N:0|U:0,78.085,41.94967529091554,57.82093781042551,13.572298122378454,6.083703129875529,4.723512654131497
22,N:0|U:0,78.085,137.83413396919286,45.57783706086012,23.180281292881872,25.675045331519687,14.095088843460777
23,N:0|U:0,78.085,92.5386486700709,43.959809980071384,29.171246670053073,33.95774730171603,52.94247287925044
24,N:0|U:0,78.085,33.649958079953336,22.02232821514807,30.041312243113293,6.192760843391965,9.67566291329764
25,N:0|U:0,78.085,99.94638844829431,90.66901731952056,162.9603964067248,1203.0649563981185,825.1036893697733
26,N:0|U:0,78.085,115.16110507891882,47.09079233543756,28.251326359839915,29.082506744837655,10.831418750030956
27,N:0|U:0,78.085,76.10118372493675,38.60712244067552,24.90081897331157,18.54419690427355,14.358748336301037
28,N:0|U:0,78.085,93.33207876081299,30.515366257162793,30.422829075677686,45.521165566762754,54.335899895682246
29,N:0|U:0,78.085,101.16147154404537,67.46774520892802,57.25932441918298,38.25044463620171,33.9104149617349
30,N:0|U:0,78.085,94.87207696217351,40.15081042331325,30.326008886767063,23.559405571089805,2.6957299647218114
31,N:0|U:0,78.085,127.12660769971637,99.48935282279207,54.589957998224136,48.99231147696966,37.97427766885142
32,N:0|U:0,78.085,96.26122746430757,52.614391481994254,46.69584508369875,19.65863419345563,15.941828637612439
33,N:0|U:0,78.085,79.20924379672003,38.45141015693741,17.358140507558385,23.38188877553895,19.299604721566038
34,N:0|U:0,78.085,41.94967529091554,17.403105318820792,13.469516970093487,11.135904652212766,13.758547320841936
35,N:0|U:0,78.085,110.26320419333877,35.84501911614678,65.3073375407419,59.89865182131818,72.54460875857788
36,N:0|U:0,78.085,85.57202161843561,51.803356198251684,45.117611576328024,43.06805404632312,26.358300529751375
37,N:0|U:0,78.085,153.36958023317925,486.0921211288046,389.3075113414246,411.8468707441926,466.3752951661749
38,N:0|U:0,78.085,610.0588194219544,388.95075027288146,37.894598380854035,12.425927594540111,4.80187472906988
39,N:0|U:0,78.085,99.77324433408526,108.66826181841584,77.62362581303938,34.97617838346149,52.54596267945507
40,N:0|U:0,78.085,40.337515276670686,59.19249114824574,14.252896575990682,10.955976750700055,8.416880477774791
41,N:0|U:1,78.085,67.22635944861474,74.75102476109872,28.322936897313376,31.548562653157717,25.506722094407312
42,N:0|U:0,78.085,80.59700987559825,50.99577573917099,48.166624163189034,33.74906581637702,24.578853535338766
43,N:0|U:0,78.085,85.76591283509592,69.24754247121017,77.54749285318778,66.94678753052557,63.625418482769845
44,N:0|U:0,78.085,130.23460864708085,105.42208535731592,82.19675767483771,67.14519663176316,69.4979945512404
45,N:0|U:0,78.085,78.19833046463054,-12.335874751898313,-14.293890272501804,-8.178851568085635,-6.208935073871408
46,N:0|U:0,78.085,466.74348475045497,324.3464052317664,556.0574406715094,514.5451549989348,545.8169146062713
