sim_id,terminal_resolution,cum_elec_idio_return_pct,mean_daily_idio_pct,std_daily_idio_pct,max_drawdown_pct
0,0,38801.440776754454,230.07067098720853,17.714373991804173,0.0
1,0,38179.115666416605,229.1168966173196,19.547225962642745,0.0
2,0,37190.790690542206,227.00936952993362,10.761360933160695,0.0
3,0,21444.789651358944,193.1305547779933,12.506165370880469,0.0
4,1,31422.219070211315,216.21053648262674,10.858537276018298,0.0
5,0,36066.86751105043,225.32323624266718,18.143678907919988,0.0
6,0,51622.79156015866,249.15647220096898,12.687619999000901,0.0
7,0,39570.14284632004,231.5659546025069,20.970345409819434,0.0
8,1,58868.020034421614,258.78352320054836,20.682735747330653,0.0
9,0,58072.20788048415,262.6049358980624,59.51544967087528,0.0
10,0,34277.13270276372,221.85645081126933,13.96160986410367,0.0
11,0,31618.095781258377,217.20807224253014,22.058209716138922,0.0
12,0,36672.75202665599,226.0352994383275,8.81524736422363,0.0
13,0,32526.554049497365,219.3678753923544,27.34044663923762,0.0
14,0,39451.64628228315,231.17847714350492,17.923325722912256,0.0
15,1,40683.74081902809,234.16628131801977,30.323278501605877,0.0
16,0,39095.61449472678,230.51933916074844,16.85463464448894,0.0
17,1,36448.466069998176,226.03359100791494,18.105934983175413,0.0
18,0,34810.89109992977,223.0321023436562,17.561115990282293,0.0
19,0,33771.6149838247,221.2426423641435,20.255954398981267,0.0
20,0,35520.78605829814,224.10847757385181,12.879168798835778,0.0
21,0,32918.08994403035,219.24781829889713,13.267614185556805,0.0
22,0,33468.60707978798,220.57503198938602,19.098761903440376,0.0
23,0,31325.55510103948,216.26770475127864,16.93632009746006,0.0
24,0,35363.993239185744,225.3265559598345,33.632790429261306,0.0
25,1,43505.742702321964,238.11138654938776,24.42982591600257,0.0
26,0,37750.17499314742,228.56818583002155,22.055810873147585,0.0
27,1,30614.422097546623,214.64937379559507,12.967045157658735,0.0
28,1,44683.58667316995,239.99814749490778,25.9857466602803,0.0
29,0,37358.15773831346,229.07542210485582,36.04895604788805,0.0
30,0,39980.357587256745,233.00409762068776,30.188239326985883,0.0
31,0,44404.814107347825,239.04843199946944,17.531866639473243,0.0
32,0,36746.979368335786,226.3866449772776,14.759669919829031,0.0
33,0,40710.07215893828,233.0488861587694,13.657072114447407,0.0
34,0,31886.48226424574,217.50876887776417,18.60207716900364,0.0
35,1,35760.88042018283,225.28419256666447,25.87054733325894,0.0
36,1,35726.39262164491,224.87585439816218,20.64628834939632,0.0
37,0,40483.238087871716,232.9359906004833,18.749853940083756,0.0
38,1,32395.468002874877,219.05551035523877,26.860051516267784,0.0
39,0,52508.29059393924,251.5121361492656,32.01655234562195,0.0
40,0,39932.59951217325,231.83589265969403,14.953058698175262,0.0
41,0,31411.714973263843,216.29314953829572,13.469132290034327,0.0
42,0,40847.05884010634,234.7506884805247,34.11943169467161,0.0
43,0,25163.600579898586,202.99762355594427,20.108720679050208,0.0
44,0,39281.8386160654,231.8493246615401,30.293017448040935,0.0
45,0,55354.55427970497,255.0791995859526,29.536159522798737,0.0
46,0,65695.00438429015,267.76696922508074,33.7822363418849,0.0
47,0,39527.49777877631,231.35086053648283,19.036792455266426,0.0
48,0,38734.55406898408,229.90485281458842,16.62534224021824,0.0
49,1,35824.328407393645,224.8520688375084,17.226313044485668,0.0
50,1,36608.89988812657,226.26003907895256,16.996927403883678,0.0
51,1,58450.26210583676,259.21933844304397,32.6656035645255,0.0
52,0,40300.660740283194,232.4611984565403,15.47088593363657,0.0
53,0,41072.06130435196,233.79130105951685,17.07838089091404,0.0
54,0,44196.755099879745,239.12760382888246,24.350612032834203,0.0
55,0,37633.132480967935,229.34681683053282,33.43414428179099,0.0
56,0,36230.68992746158,225.32924497630165,11.481636564523669,0.0
57,0,39791.44751570635,231.62436800881406,15.58591919101757,0.0
58,1,47994.641832406094,244.71902280279195,23.96971512377703,0.0
59,1,41428.75245661256,234.53521674301527,20.030851917389,0.0
60,0,48302.98459766054,244.99357662229554,21.530708376740215,0.0
61,0,36701.57120077894,226.2386855307024,13.33952932491603,0.0
62,0,31438.114108006033,216.7956169554872,21.2643837094318,0.0
63,0,32850.49757811847,219.98427453362373,26.60818599097293,0.0
64,0,38894.7328186608,230.3048749059189,18.923584316262797,0.0
65,0,38174.93085911658,229.05793017060864,18.512116155795795,0.0
66,0,40428.94211010072,234.7410076949297,38.31084005824856,0.0
67,0,37692.324557566906,229.14137815695744,30.58818328718362,0.0
68,1,36474.85935541977,226.03768388758363,17.481781731209065,0.0
69,0,37314.54228756405,227.3738797607886,14.744148401887827,0.0
70,1,47321.460118501505,244.62301333613323,34.4632137542576,0.0
71,0,34984.09513595357,222.9342350676085,6.650249206529841,0.0
72,0,42481.717278688026,236.06097955879605,17.347301131458906,0.0
73,1,36443.90248914062,226.41755030505004,24.5807342806425,0.0
74,1,36626.45256323303,226.26818985858554,16.884863765764667,0.0
75,0,42277.446006035294,235.89882588281603,20.57746546718975,0.0
76,0,32112.12169137416,218.07853253277617,21.026671511852864,0.0
